Program,Latitude,Longitude,Address,Zip,Site,Notes,Contact,Email,Website_corrupt,School Number,School,Hours_corrupt,BSEP_corrupt,ASEP,SEP,Cost,Scholarship/Financial Assistance,Transportation,Phone_corrupt,BSEP,Website,Hours,PlaceHolder1,PlaceHolder2,PlaceHolder3,PlaceHolder4,PlaceHolder5,Phone
CMS After School Enrichment Program,35.378647,-80.835724,"12201 Hambright Road Huntersville, NC 28078",28078,J.M. Alexander Middle School,N/A,Aja Glover,aja.glover@cms.k12.nc.us,http://www.cms.k12.nc.us/cmsdepartments/asep,305,3830,9:15AM-4:15PM,Yes,Yes,No,$50,N/A,No,(980) 343-5567,Yes,http://www.cms.k12.nc.us/cmsdepartments/asep,9:15AM-4:15PM,PK-12,,,,,(980) 343-5567
Y Readers,35.198667,-80.729253,"7800 Riding Trail Rd., Charlotte, NC 28212",28212,Albemarle Road Elementary School,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,Yes,Yes,Free,N/A,Limited,(704) 716-6307,Yes,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.481788,-80.864255,"21126 Catawba Ave, Charlotte, NC 28031",28031,Cornelius Elementary School,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,No,Yes,Free,N/A,Limited,(704) 716-6307,No,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.226351,-80.717395,"Hickory Grove Elementary 6709 Pence Rd., Charlotte, NC 28215",28215,Hickory Grove Elementary School,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,No,Yes,Free,N/A,Limited,(704) 716-6307,No,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.268318,-80.784697," 5100 Snow White Ln., Charlotte, NC 28213",28213,Hidden Valley Elementary School,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,No,Yes,Free,N/A,Limited,(704) 716-6307,No,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.255854,-80.803176,"125 W. Craighead Rd., Charlotte, NC 28206;",28206,Highland Renaissance Academy,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,No,Yes,Free,N/A,Limited,(704) 716-6307,No,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.132835,-80.859906,"2520 Huntingtowne Farms Lane, Charlotte, NC 28210",28210,Huntingtowne Farms Elementary School,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,No,Yes,Free,N/A,Limited,(704) 716-6307,No,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.14013,-80.895251,"8300 Nations Ford Road Charlotte, NC 28217",28217,Nations Ford Elementary ,N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,Yes,Yes,Free,N/A,Limited,(704) 716-6307,Yes,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
Y Readers,35.205038,-80.905423,"4108 W Tyvola, Charlotte, NC 28208",28208,Reid Park (K-8),N/A,Amanda Wilkinson,Amanda.wilkinson@ymca.org,http://www.ymcacharlotte.org/yreaders,N/A,N/A,"Afterschool: Until end of school day or until 5:15-5:45PM (site specific), Summer: 8AM-4PM",No,Yes,Yes,Free,N/A,Limited,(704) 716-6307,Yes,http://www.ymcacharlotte.org/yreaders,"Afterschool: Until end of school day or until 5:15PM-5:45PM (site specific), Summer: 8AM-4PM",K-3,,,,,(704) 716-6307
CMS After School Enrichment Program,35.412176,-80.872735,"14550 Ranson Road Huntersville, NC 28078",28078,Torrence Creek Elementary,N/A,Anita  Brown,anita.brown@cms.k12.nc.us,http://www.cms.k12.nc.us/cmsdepartments/asep,557,695,8:15-3:15,Yes,Yes,No,"$30-$55, varies by program",N/A,No,(980) 343-5567,Yes,http://www.cms.k12.nc.us/cmsdepartments/asep,8:15AM-3:15PM,PK-12,,,,,(980) 343-5567
